id,origin,destination,distance_km,zone,base_fare_zar
362,SCOTTSDENE,SCOTTSVILLE,5.81,Zone 2,12.0
363,SCOTTSDENE,BLOEKOMBOS,8.22,Zone 2,12.0
364,SCOTTSDENE,BELLVILLE,13.21,Zone 3,18.0
365,SCOTTSDENE,DURBANVILLE,15.67,Zone 3,18.0
366,KRAAIFONTEIN,BLOEKOMBOS,3.72,Zone 1,8.0
367,KRAAIFONTEIN,SCOTTSDENE,3.39,Zone 1,8.0
368,KRAAIFONTEIN,BRACKENFELL,7.47,Zone 2,12.0
369,BLOEKOMBOS,WALLACEDENE,7.12,Zone 2,12.0
370,BLOEKOMBOS,BELLVILLE,16.31,Zone 3,18.0
371,BLOEKOMBOS,DURBANVILLE,13.28,Zone 3,18.0
372,MFULENI,KUILSRIVER,12.13,Zone 3,18.0
373,TABLE VIEW,YSTERPLAAT,16.43,Zone 3,18.0
374,ELSIES RIVER,EDGEMEAD,20.87,Zone 4,25.0
375,ELSIES RIVER,N1 CITY,3.89,Zone 1,8.0
376,ELSIES RIVER,NORWOOD,2.64,Zone 1,8.0
377,LWANDLE,SIR LOWRYS PASS TOWN,7.24,Zone 2,12.0
378,LWANDLE,STRAND,6.23,Zone 2,12.0
379,SCOTTSVILLE,BLOEKOMBOS,8.2,Zone 2,12.0
380,SCOTTSVILLE,DURBANVILLE,10.09,Zone 3,18.0
381,BISHOP LAVIS,HYPERAMA PAROW,12.37,Zone 3,18.0
382,MITCHELLS PLAIN,HANOVER PARK,21.29,Zone 4,25.0
383,LANGA,MUTUAL STATION,6.96,Zone 2,12.0
384,FIRGROVE,"KRAMAT WAY,MACASSAR",8.05,Zone 2,12.0
385,FIRGROVE,"STEYNRUST RD,SOMERSET WEST",9.1,Zone 2,12.0
386,FIRGROVE,LOURENSFORD,15.36,Zone 3,18.0
387,FIRGROVE,SOMERSET WEST,10.61,Zone 3,18.0
388,FIRGROVE,STRAND,11.1,Zone 3,18.0
389,SOMERSET WEST,WINERY RD,9.32,Zone 2,12.0
390,STRAND,AE & CI STRAND,5.62,Zone 2,12.0
391,MACASSAR,STRAND,21.73,Zone 4,25.0
392,MACASSAR,SIR LOWRYS PASS TOWN,11.6,Zone 3,18.0
393,SAREPTA,TYGERBERG HOSPITAL,27.59,Zone 4,25.0
394,GRASSY APRK,RETREAT,8.6,Zone 2,12.0
395,FISH HOEK,NOORDHOEK,6.09,Zone 2,12.0
396,FISH HOEK,KOMMETJIE,14.53,Zone 3,18.0
397,FISH HOEK,OCEAN VIEW,12.07,Zone 3,18.0
398,FISH HOEK,SUN VALLEY,6.09,Zone 2,12.0
399,FISH HOEK,SEA FORTH,10.75,Zone 3,18.0
400,FISH HOEK,WYNBERG,20.88,Zone 4,25.0
401,OCEAN VIEW,SUN VALLEY,7.76,Zone 2,12.0
402,OCEAN VIEW,SIMONS TOWN,17.42,Zone 3,18.0
403,NORTHPINE,SCOTTSVILLE,9.57,Zone 2,12.0
404,BRACKENFELL STATION,BELLVILLE,7.95,Zone 2,12.0
405,EIKENFONTEIN,DURBANVILLE,11.74,Zone 3,18.0
406,EIKENFONTEIN,SCOTTSDENE,7.44,Zone 2,12.0
407,SCOTTSDENE,EIKENFONTEIN,3.54,Zone 1,8.0
408,SCOTTSDENE,BRACKENFELL STATION,6.13,Zone 2,12.0
409,NORTHPINE,EIKENFONTEIN,2.43,Zone 1,8.0
410,NORTHPINE,SCOTTSDENE,4.74,Zone 1,8.0
411,KRAAIFONTEIN,BELLVILLE,15.42,Zone 3,18.0
412,MELTON ROSE,BLUE DOWNS,9.07,Zone 2,12.0
413,MELTON ROSE,TUSCANY GLEN,4.06,Zone 1,8.0
414,MELTON ROSE,EERSTERIVER,2.94,Zone 1,8.0
415,MELTON ROSE,BLACKHEATH,2.92,Zone 1,8.0
416,EERSTERIVER,KLEINVLEI,3.75,Zone 1,8.0
417,EIKENFONTEIN,BLOEKOMBOS,7.47,Zone 2,12.0
418,EIKENFONTEIN,BELLVILLE,13.02,Zone 3,18.0
419,KRAAIFONTEIN,DURBANVILLE,11.49,Zone 3,18.0
420,BLACKHEATH,DENNEGEUR,8.93,Zone 2,12.0
421,BLACKHEATH,BELLVILLE,14.39,Zone 3,18.0
422,MUTUAL,NYANGA,17.68,Zone 3,18.0
423,BRENTWOOD PARK,KUILSRIVER,10.98,Zone 3,18.0
424,TABLE VIEW,CAPE TOWN,29.45,Zone 4,25.0
425,TABLE VIEW,KOEBERG,18.03,Zone 3,18.0
426,TABLE VIEW,YSTERPLAAT STATION,16.38,Zone 3,18.0
427,SAREPTA,KUILSRIVER,3.74,Zone 1,8.0
428,SAREPTA,BELLVILLE,9.48,Zone 2,12.0
429,KUILSRIVER,INDUSTRIAL AREA,4.03,Zone 1,8.0
430,KUILSRIVER,KALKFONTEIN,6.54,Zone 2,12.0
431,KUILSRIVER,"BOTTELARY RD,KUILSRIVER",19.54,Zone 3,18.0
432,KUILSRIVER STATION,BELLVILLE,8.81,Zone 2,12.0
433,KUILSRIVER STATION,"INDUSTRIAL AREA,KUILSRIVER",5.48,Zone 2,12.0
434,KUILSRIVER STATION,KALKFONTEIN,5.67,Zone 2,12.0
435,BLACKHEATH RAILWAY STATION,HAPPY VALLEY,3.09,Zone 1,8.0
436,BLACKHEATH RAILWAY STATION,KUILSRIVER,7.26,Zone 2,12.0
437,MELTON ROSE,PINEPLACE,2.35,Zone 1,8.0
438,MELTON ROSE,EERSTERIVIER,2.66,Zone 1,8.0
439,ELSIES RIVER,MATROOSFONTEIN,5.05,Zone 2,12.0
440,THE HAGUE,BELLVILLE,10.46,Zone 3,18.0
441,MALIBU VILLAGE,MITCHELLS PLAIN,36.6,Zone 5,35.0
442,ELSIES RIVER,EINDHOVEN,21.11,Zone 4,25.0
443,NETREG STATION,"SANLAM CENTRE ,PAROW",15.64,Zone 3,18.0
444,MONTANA,ELSIES RIVER,12.31,Zone 3,18.0
445,UNIBELL,THE HAGUE,5.61,Zone 2,12.0
446,UNIBELL,VOORBRUG,6.7,Zone 2,12.0
447,UNIBELL,EINDHOVEN,8.15,Zone 2,12.0
448,BELLVILLE,WELGEMOED,10.3,Zone 3,18.0
449,CAPE TOWN,BONTEHEUWEL,19.61,Zone 3,18.0
450,SAREPTA,KUILSRIVER STATION,2.92,Zone 1,8.0
451,KUILSRIVER STATION,SAREPTA,2.92,Zone 1,8.0
452,KHAYELITSHA,CAPE TOWN,31.88,Zone 4,25.0
453,CLAREMONT,NYANGA,16.06,Zone 3,18.0
454,KHAYELITSHA,SOMERSET WEST,20.35,Zone 4,25.0
455,LENTEGEUR STATION,WESTGATE MALL,4.93,Zone 1,8.0
456,GATESVILLE,NYANGA,8.08,Zone 2,12.0
457,TABLE VIEW,KOEBERG RAILWAY STATION,16.07,Zone 3,18.0
458,CLAREMONT,CAPE TOWN,11.43,Zone 3,18.0
459,CLAREMONT,WYNBERG,3.62,Zone 1,8.0
460,SEA POINT,GREEN POINT,6.46,Zone 2,12.0
461,CAPE TOWN,"DOCK RD,CAPE TOWN",3.15,Zone 1,8.0
462,CAPE TOWN,GREEN POINT,3.44,Zone 1,8.0
463,N1 CITY,BOTHASIG,15.43,Zone 3,18.0
464,VASCO,N1 CITY,3.03,Zone 1,8.0
465,N1 CITY,GOODWOOD,4.45,Zone 1,8.0
466,N1 CITY,CAPE TOWN,18.48,Zone 3,18.0
467,CAPE TOWN,CAMPS BAY,13.91,Zone 3,18.0
468,SOMERSET WEST,RUSTHOF,17.06,Zone 3,18.0
469,SOMERSET WEST,CASSABLANCA,12.24,Zone 3,18.0
470,SIR LOWRYS PASS TOWN,GORDONS BAY,8.14,Zone 2,12.0
471,SIR LOWRYS PASS TOWN,LWANDLE,7.28,Zone 2,12.0
472,MATROOSFONTEIN,ELSIES RIVER,4.93,Zone 1,8.0
473,BRACKENFELL,"CRAMMIX RD,BRACKENFELL",9.98,Zone 2,12.0
474,ELSIES RIVER,BISHOP LAVIS,8.91,Zone 2,12.0
475,KILLARNEY,CAPE TOWN,25.19,Zone 4,25.0
476,KILLARNEY,KOEBERG RAILWAY STATION,25.34,Zone 4,25.0
477,KILLARNEY,YSTERPLAAT,20.87,Zone 4,25.0
478,KILLARNEY,MORNINGSTAR,18.33,Zone 3,18.0
479,DOLPHIN BEACH,KOEBERG RAILWAY STATION,22.22,Zone 4,25.0
480,HANOVER PARK,WYNBERG,7.61,Zone 2,12.0
481,DELFT,ELSIES RIVER,16.79,Zone 3,18.0
482,GORDONS BAY,STRAND,8.6,Zone 2,12.0
483,GORDONS BAY,SOMERSET WEST,14.9,Zone 3,18.0
484,GORDONS BAY,"SOMERSET MALL,SOMERSET WEST",14.61,Zone 3,18.0
485,SOMERSET WEST,MACASSAR,15.81,Zone 3,18.0
486,MACASSAR,"LOURENSFORD,SOMERSET WEST",11.57,Zone 3,18.0
487,MACASSAR,"SOMERSET MALL,SOMERSET WEST",16.42,Zone 3,18.0
488,NYANGA,MITCHELLS PLAIN,11.5,Zone 3,18.0
489,NYANGA,BELLVILLE,15.26,Zone 3,18.0
490,NYANGA,KHAYELITSHA,10.77,Zone 3,18.0
491,TYGERVALLEY SHOPPING CENTRE,BELLVILLE,5.61,Zone 2,12.0
492,TYGERVALLEY SHOPPING CENTRE,DURBANVILLE,6.74,Zone 2,12.0
493,MITCHELLS PLAIN,BELLVILLE,26.41,Zone 4,25.0
494,HEIDEVELD,ATHLONE,11.25,Zone 3,18.0
495,NYANGA,TYGERBERG HOSPITAL,25.39,Zone 4,25.0
496,EINDHOVEN,UNIBELL,8.13,Zone 2,12.0
497,DELFT SOUTH,BELLVILLE,20.86,Zone 4,25.0
498,VOORBRUG,UNIBELL,8.86,Zone 2,12.0
499,MUTUAL STATION,LANGA,7.12,Zone 2,12.0
500,LANGA,NYANGA,13.39,Zone 3,18.0
501,DELFT SOUTH,ELSIES RIVER,23.79,Zone 4,25.0
502,PHILIPPI,CLAREMONT,16.45,Zone 3,18.0
503,GUGULETU,CAPE TOWN,21.44,Zone 4,25.0
504,RETREAT,LAVENDER HILL,7.52,Zone 2,12.0
505,RETREAT,REATREAT,9.84,Zone 2,12.0
506,RETREAT,WYNBERG,15.51,Zone 3,18.0
507,RETREAT,POLLSMOOR,7.85,Zone 2,12.0
508,RETREAT,FISH HOEK,13.52,Zone 3,18.0
509,KOEBERG RAILWAY STATION,SUMMERGREENS,11.06,Zone 3,18.0
510,KOEBERG RAILWAY STATION,KILLARNEY,14.19,Zone 3,18.0
511,KOEBERG RAILWAY STATION,PAARDEN EILAND,7.43,Zone 2,12.0
512,KOEBERG RAILWAY STATION,YSTERPLAAT RAILWAY STATION,2.75,Zone 1,8.0
513,KOEBERG RAILWAY STATION,MONTAGUE GARDENS,14.58,Zone 3,18.0
514,WOODSTOCK,CAPE TOWN(STATION DECK),3.37,Zone 1,8.0
515,GORDONS BAY,TEMPERANCE TOWN,9.55,Zone 2,12.0
516,RATANGA JUNCTION CENTURY CITY,KOEBERG RAILWAY STATION,10.75,Zone 3,18.0
517,RATANGA JUNCTION CENTURY CITY,KILLARNEY,10.67,Zone 3,18.0
518,WYNBERG,KENILWORTH CENTRE,3.2,Zone 1,8.0
519,DELFT SOUTH,UNIBELL,12.54,Zone 3,18.0
520,CAPE TOWN,BRIDGETOWN,18.36,Zone 3,18.0
521,SILVERTOWN,ATHLONE,5.46,Zone 2,12.0
522,BRIDGETOWN,ATHLONE,3.44,Zone 1,8.0
523,SILVERTOWN,CAPE TOWN,14.15,Zone 3,18.0
524,BRIDGETOWN,CAPE TOWN,15.31,Zone 3,18.0
525,BRIDGETOWN,GATESVILLE,2.72,Zone 1,8.0
526,SILVERTOWN,MOWBRAY,9.55,Zone 2,12.0
527,BRIDGETOWN,MOWBRAY,8.37,Zone 2,12.0
528,KHAYELITSHA,MITCHELLS PLAIN,7.28,Zone 2,12.0
529,RETREAT,HANOVER PARK,18.71,Zone 3,18.0
530,GOODWOOD,N1 CITY,6.13,Zone 2,12.0
